# ID       , RA                 , DEC                , G     , BP-RP , parallax
HD 3443    , 00 37 20.71960     , -24 46 02.1843     , 5.375 , 0.886 , 64.93
HD 8556    , 01 24 20.5021369   , -06 54 52.773474   , 5.822 , 0.573 , 21.44
HD 15524   , 02 30 32.3533307604, +25 14 06.102857207, 5.779 , 0.586 , 18.3024
HD 15755   , 02 32 52.6196598346, +34 32 32.581459846, 5.445 , 1.352 , 12.1221
HD 16247   , 02 36 35.0699755272, +07 43 48.100486710, 5.454 , 1.296 , 11.6563
HD 23985   , 03 50 18.94122     , +25 34 45.7479     , 5.17  , 0.335 , 17.71
HD 31093   , 04 51 28.2164423   , -34 54 22.634070   , 5.781 , 0.175 , 12.17
HD 38089   , 05 42 53.9141430   , -06 47 46.206245   , 5.862 , 0.596 , 20.02
HD 59380   , 07 29 25.6609863875, -07 33 04.450065996, 5.737 , 0.653 , 33.6335
HD 80024   , 09 18 25.90900     , +35 21 50.6727     , 5.882 , 0.269 , 11.5
HD 83520   , 09 37 12.65194     , -53 40 06.6340     , 5.413 , 0.209 , 13.98
HD 89571   , 10 29 41.6296586538, +84 15 06.948854815, 5.445 , 0.354 , 23.049
HD 91889   , 10 36 32.3819362122, -12 13 48.440040258, 5.583 , 0.691 , 40.3975
HD 111456  , 12 48 39.4470003426, +60 19 11.037876361, 5.716 , 0.647 , 38.1905
HD 136138  , 15 18 24.5072103336, +20 34 21.946931292, 5.372 , 1.194 , 7.7902
HD 155826  , 17 15 35.9021317723, -38 35 38.168900773, 5.802 , 0.76  , 30.4039
HD 156384  , 17 18 57.16483     , -34 59 23.1416     , 5.538 , 1.285 , 146.29
HD 171130  , 18 33 39.0209168303, -14 51 13.011821357, 5.687 , 0.095 , 13.5871
HD 186185  , 19 43 33.5477235951, -15 28 12.076153462, 5.377 , 0.638 , 27.6508
HD 189340  , 19 59 47.2802830338, -09 57 29.634435094, 5.722 , 0.76  , 46.9328
HD 213135  , 22 29 46.0543412659, -27 06 26.142280965, 5.868 , 0.49  , 25.0139
V* R Dor   , 04 36 45.59127     , -62 04 37.7974     , 4.688 , 2.719 , 18.31
