id   , designation                 , appmag   , absmag               , bprp          , ra                   , dec                  , ly                 , parallax           , parsec             , from earth X         , from earth Y        , from earth Z         , galactic l            , galactic b
 6500, Gaia DR3 3436911415277140224, 4.028311 , 0.33703686519706544  , 1.2043235     ,  93.84416519301544   , 29.496916029568094   , 178.51725458907256 ,  18.27027873304325 , 54.73370245804848  , -3.193878255820015   , 47.53205614742737   , 26.949600458095727   , 182.5726160765205     , 5.640673377739207
 6501, Gaia DR3 6381520652449684224, 6.713303 , 3.022118799715898    , 0.9161267     , 348.53690518106436   , -70.05782223430771   , 178.50986120435266 ,  18.271035437455552, 54.73143563336338  , 18.294981663258607   , -3.709885808695706  , -51.449591249265225  , 314.41465467985915    , -44.6771294886172
 6502, Gaia DR3 6076676861777505408, 6.6675954, 2.9768069050238335   , 0.7130728     , 182.9092609478733    , -54.417630701470046  , 178.47733448948594 ,  18.27436525388123 , 54.721462885700696 , -31.79988991065636   , -1.61606610563377   , -44.50386311730113   , 296.90365046659235    , 8.104115685161588
 6503, Gaia DR3 5726736979617591808, 4.458358 , 0.767614061169378    , 1.0965624     , 122.8178102812069    , -12.926959451751904  , 178.47367237502763 ,  18.274740226930877, 54.720340075003264 , -28.905134271617456  , 44.821384391458245  , -12.241418704419733  , 233.68241831568727    , 11.001986072619035
 6504, Gaia DR3 5300393683747349376, 6.938284 , 3.2480152722142694   , 0.6941066     , 139.83339094129835   , -58.92937411031166   , 178.43461897498386 ,  18.27873995940924 , 54.70836623425106  , -21.576149429011075  , 18.211716667210727  , -46.85945462626689   , 278.2790664858935     , -6.551991522499527
 6505, Gaia DR3 6036561970315289344, 7.319386 , 3.629445997718089    , 0.70194626    , 242.29630570125838   , -32.10170356423518   , 178.40760892861763 ,  18.281507271951483, 54.70008490679848  , -21.54192732968412   , -41.024897880604534 , -29.068925154183827  , 344.3706364146136     , 14.618931535813458
 6506, Gaia DR3 5869945586069082624, 7.377517 , 3.6882560820042674   , 0.8331628     , 203.60337046529025   , -59.513128876124235  , 178.35182426333935 ,  18.287225339418193, 54.68298123086479  , -25.421918697066523  , -11.108344135462154 , -47.12280951538219   , 308.1901883991403     , 3.0547989975501326
 6507, Gaia DR3 5350176752737354624, 5.3432136, 1.6547634202765114   , 0.21665335    , 168.13704515029696   , -49.10084838626338   , 178.28524747453628 ,  18.2940543101629  , 54.66256867098453  , -35.02482082613888   , 7.3572393272544785  , -41.31742210361711   , 286.538647506744      , 10.691666967997351
 6508, Gaia DR3 6207852825204955136, 7.220454 , 3.532293900235135    , 0.6040144     , 231.61317916837731   , -31.32085378648327   , 178.26143251709718 ,  18.296498316803223, 54.655266963384754 , -28.993182234237583  , -36.59758217226254  , -28.411451386996017  , 337.6229510704438     , 21.096547036589833
 6509, Gaia DR3 1993638920193452160, 7.463946 , 3.775806220729071    , 0.6488948     , 358.16525007818143   , 54.26865356018029    , 178.25976436630984 ,  18.296669535014924, 54.654755505436    , 31.901216690405956   , -1.0219037082131852 , 44.36677119018119    , 114.1478177880027     , -7.703781348013306
 6510, Gaia DR3 6814117833040653952, 5.6904364, 2.0024332513302667   , 0.30515957    , 324.0462587147953    , -26.17162234568172   , 178.24854848696296 ,  18.297820810801998, 54.65131669721329  , 39.70416830314087    , -28.79781856216706  , -24.104586330312205  ,  22.366669332606318   , -46.37711548546555
 6511, Gaia DR3 4344238615362269056, 7.9792957, 4.292134685480178    , 0.8487644     , 244.1506924251784    , -10.189886063944616  , 178.17943405313375 ,  18.30491839494445 , 54.630126090930034 , -23.44334685018496   , -48.38857621550627  , -9.664670558740129   ,   3.0620583415109484  , 28.131621584982607
 6512, Gaia DR3 4874903265258678400, 7.945718 , 4.259070985025698    , 0.73441744    ,  72.91959070080715   , -31.567432066638514  , 178.13726298554826 ,  18.30925178335428 , 54.61719636785718  , 13.668015649984834   , 44.48269227085703   , -28.592194312663     , 233.15518189007665    , -38.297392879186596
 6513, Gaia DR3 4894713509854451456, 6.586302 , 2.89991686982108     , 0.61706114    ,  68.82442284075357   , -24.532959015091443  , 178.1157804986247  ,  18.311460056315358, 54.610609799796634 , 17.945945793513335   , 46.32597048222831   , -22.675232990239294  , 223.2388661787497     , -40.19761783867652
